Text,Palestine Sympathy,Israel Sympathy,Palestine Military,Israel Military
"When a Hamas terror attack happens (even on a much smaller scale than the 7/10), Palestinians go out into the streets to celebrate the murder of Jews and Israelis.",-,+,-,n
I support Israel to exist. Palestine can get out instead of engaging in senseless wars.,n,+,-,n
"Palestinians will never get the 1967 borders, and a right to return is utter nonsense. A right to return would basically give Palestinians the ability to make Israel no longer a Jewish state and instead turn it into a second Palestinian state, effectively getting the ""from the river to the sea"" goal and then doing horrible things to the Jewish people there",n,+,-,n
Israel will just keep fighting against Palestinian attacks until Palestinians have a change of heart and see the futulity and impossibility of the right to return,n,n,-,+
"100 hostages, or the casualties of Hamas’ first attack, are not worth killing 20,000 people, the majority of which are women and children and displacing and starving millions. Yes Hamas started this, yes they have hostages, yes they hide behind civilians, but at what point do we say the Israeli response is disproportionate? 2 million people are starving and most of them are homeless. ",n,n,-,-
I support Israel’s right to defend itself but this is way beyond that. This is a human catastrophe and it didn’t need to be. Israel chose to run this war a certain way.  Them killing those 3 hostages who were waving a white flag says it all. This is total war and  in their mind no Palestinian is innocent as Hamas was elected and in control and again they hide behind civilians.,n,n,-,-
First of all why is Hamas entitled to revenge for pre October 7th events and Israel is not entitled to revenge after October 7th? Both are just having revenge on each other's civilians. Don't question about morality since Palestinians are not clean themselves.,-,n,-,+
Why are they occupying the land? Why is there oppression? You’re implying all of the oppression against Palestinians is born out of a vacuum and not self induced because of the threat to Israeli security.,n,n,-,-
"The problem with that argument is that depending on which poll Hamas already has between 60% and 80% of open and enthusiastic support of Palestinians. People love to make excuses for the Palestinian Population not being Hamas, but the fact is most share their worldview and are willing to follow Hamas and fight, rape, torture and murder ""the jews"".",-,+,-,n
Israel is in a war that they never wanted to be in. Hamas attacked them and Israel is legally allowed to defend itself.,n,n,-,+
"Palestinians have been aggressive since day one. Multiple Palestinian terrorist organizations had popular support among Palestinians prior to them electing Hamas to be their government in Gaza. ",-,n,-,n
Palestine is expending all it's energy on attacking Israel. They knew the level of depravity in this attack would get the exact response from Israel that it did.,n,n,-,n
If it was genocide hundreds of thousands would be dead by now. You need to be blaming Hamas for this because they are responsible for using civilians as human shields. Israel can't just let them get away with it when Hamas said they want to kill all jews and want to repeat October 7th over and over.,n,n,-,+
"When the Palestinians say they want to murder and expel all the Jews and when given the opportunity on October 7th and many, many times before, they did exactly what they said they would do.",n,n,-,n
"You do realize the arabs were the first aggressors against Israelis. Have been in every single conflict. If Israel was indiscriminately bombing Gaza, a lot more people would be dead. Wish they would do that bit unfortunately the IDF has excellent moral standards. Unlike Hamas or the ""Palestinians"" as u call them.",-,n,-,+
The Palestinian voice in West Bank and Gaza unequivocally calls for radical Islam and the destruction of Israel. Palestine can have its own voice in its own state. Stop trying to tell Israel what to do.,n,n,-,+
"But simply to point out that this is a war, wanted and unleashed by the Palestinians.",-,n,-,n
"Israel's wars have always been a consequence of Arab aggression. The stated purpose of the Arabs has always been to wipe Israel off the face of the earth, throwing the Jews into the sea and depriving an entire people of their right to self-determination in a land they inhabited as legitimately as the Arabs.",n,+,-,n
Gaza was given it's full territory. The Israelis fully pulled out and allowed the Palestinians to govern their own territory. Then what did the Palestinians do? They elected Hamas who had the stated goal to genocide all the Jews... So I forgive Israel for not making the same mistake with the West Bank.,-,n,-,+
The Palestinians have always chose violence. Even when you give them specifically what they claim they want they will take advantage of Israel's acquiesces and try to attack when they think they will succeed.,-,n,-,+
"Israel exists and isn't going anywhere. It offered the Palestinians all of Gaza and 96% of the west bank, and they said no. Instead they launched the second intifada. A civillized offer met with destruction.",n,+,-,+
" How many peace offers will the Palestinians keep rejecting? When will they choose peace over violence?",n,n,-,n
Of course Israel is more open to peace. They want peace but Palestine leaders just want conflict.,n,n,-,+
The nation of Palestine refused sovereignty when it was offered. The false narrative of Palestinian nationhood is used to promote violence.,n,n,-,n
"The videos of 7th October that Hamas launched shows Palestinian civilians including kids taking Israeli women as hostages. Why didn't Palestinians stick to the two state solution when Arafat signed the peace treaty? And why do Palestinians claim it as their land when everyone knows that it's an ancestral jew land? Remember, it wasn't Hamas with all those suicide bombings in Israel all throughout the creation of ""new Israel"", it was Palestinian civilians.",-,+,-,n
"You mean give Palestinians a state? Do you seriously think that’s a good idea for the security of Jews, to have Palestine amass weapons and more means of destruction, because that’s what they do. ",n,+,-,n
"So to expect Palestinians or to trust them after 3 to 4 KNOWN terror attacks after trying peace with them is delusional. The only peaceful countries around Israel are the ones she’s beaten militarily. ",-,n,-,+
Palestinian terrorists brutally murdered hundreds of innocent people only because they were Jewish.,n,+,-,n
"It is my understanding that Hamas are a terrorist organization that was formed initially as an armed resistance against Isreali occupation. Isreal has been terrorizing Palestinians for DECADES. Now, the Oct 7 attack was not defending themselves, that was an offensive attack that killed many civilians and was horrific. They aren't doing anything Isreal has not done for decades. ",+,n,-,-
I’m with anyone that looking out for civilians. I’m not for the destruction of Palestinians or the destruction of Israel. I want the bombing to stop and an accord reached.,+,+,-,-
"They try so hard to frame it in other ways as to show Hamas as an Islamic terrorist group but Israel also targets and kills Palestinian Christians too. The Israeli military just bombed one of the oldest churches in the world in Gaza. They break and have been breaking every international law there is. ",n,n,-,-
"The Palestinian people deserve human rights and statehood, but they are ruled by Hamas, who slaughtered 1400 Israelis in an unprovoked attack, and Hamas needs to be destroyed. It's unfortunate, but civilians are going to be hurt in the process. Hamas aren't going to pick up their things and leave because they ask nicely.",+,n,-,n
"There's no shortage of video of Palestinians celebrating in the streets after Hamas terror attacks. Not just in Palestinian lands, but all over the world.",-,n,-,n
If the majority of Palestinians support a group that would tie children together and burn them alive there is a loss of humanity somewhere. All that said Isreal is to blame for all of this. What the Palestinians are willfully choosing by promoting Hamas is something that only makes the situation worse for themselves while committing heinous acts of violence.,-,n,-,-
"Hamas has up until recently said they will only ever accept nothing less than the complete destruction of Israel and that's part of how it's gotten so bad. If Palestinians want peace they can't choose a terror group to be their leaders. ",-,n,-,n
This is my conclusion. Both sides of this have been in the wrong in different ways going back nearly 100 years. Isreal has been oppressing the Palestinians and the Palestinians chose a terror group to govern them that was in part created by Isreal itself as an excuse to attack them.,+,n,-,-
"The causes is Israel absorbing Palestinian land, subjugating their people and insidiously dismembering any cultural or meaningful area for the last 70 years. I hate hamas terrorists, but hamas are a result of Israel and their brutal terrorist imperialism. Hamas is a resistance force. Without Israel, there is no hamas.",n,n,-,-
"Palestine doesn't build bunkers for civilians. All their resources go towards terrorizing Israel.  Concrete and other building material goes to building terror tunnels.  Water pipes are dug up and repurposed into rockets. ",n,+,-,n
"If Palestine were to lay down its arms, there would be peace there. If Israel laid down its weapons, they would be massacred. It's time to bomb Hamas out of Gaza.",n,+,-,+
"Interesting how Palestine directly targets civilians when they attack while Israel doesn’t, yet some people in the west still choose to support Palestine over Israel. I’m not aware of Israel ever deliberately attacking a civilian target (hospitals that the Palestinians launch rockets off of don’t count)",n,n,-,+
Israel aren't the ones abusing the Palestinians and giving them the terrible life they are living. It's their own leadership like Hamas who are diverting humanitarian aid towards buying more weapons and then committing more terrorism like they've just done. They deliberately set up their rocket launch sites from children schools and hospitals yo get the Israelis to bomb them.,+,n,-,n
"Of course there are cases of Israeli brutality and war crimes, but to compare the brutality that all soldiers seem subject to in the heat of battle after seeing atrocities themselves, to that of a organized attack from Hamas deliberately on Israeli civilians, including raping, kidnapping and murdering Israeli women and children is a bit dense.",n,+,-,-
On one hand the Israelis have been treating the Palestinians in occupied land abhorrently with hostilities too numerous to name. On the other hand the Palestinians are being backed by dangerous extremist elements like Hamas and Hezbollah who don't see the value of Israeli human lives,+,+,-,-
"People supporting Hamas, who openly approves of rape, forced marriage, political assassination, religious extremism, violent torture, murder at any age, just because they don't like Israel is hilarious to me. ",n,n,-,n
Israel has done some bad moves but Hamas and Palestinians are a different kind of beast that openly want to genocide an entire race.,n,n,-,n
Israel has done inhumane acts and Palestine is doing inhumane acts. It's not justifiable and the civilians are the ones who'll suffer.,+,+,-,-
"Would you call the murder of civilians from around the world in Israel organized resistance? I don't think the history of oppression is okay, but Hamas terrorist attacks aren't going to fix anything.",n,n,-,-
"Hamas is evil, it is a problem, this situation is not black and white. But if you don’t think the Israeli government and the IDF are the most evil and doing the most harm in this situation then you’re not paying attention. ",n,n,-,-
"The effective genocide Israel is doing against the Palestinians and the open-air concentration camp they’ve transformed Palestine into made it clear that eventually this would lead to a large violent backlash. That doesn’t mean the mass murder and torture of Israeli civilians that Hamas is doing is good or justified, but it’s a direct result the apartheid state Israel has imposed on the people of Palestine.",+,+,-,-
"Palestinians actively use schools, hospitals, and children as shields so they can slap a nice little propaganda piece out if Israel ever retaliates",-,n,-,n
Military intervention is a lot different then Hamas massacring and raping civilian population. Israel has never done anything close to that disgusting stuff.,n,n,-,+
No. I have repeatedly stated Hamas is evil and needs to be destroyed. But that doesn’t change that fact that Hamas using children as human shields doesn’t work for propaganda unless Israel is willing to shoot a child being used as a human shield.,n,n,-,-
"Palestine, Iran, and the rest of the trinity of terror have been invading, murdering civilians, oppressing people and wiping out entire lineage as a families.  I completely stand with the retaliation from Israel. The Palestinians can’t figure out how to live peacefully. ",-,n,-,+
Every year the Palestinians shoot thousands of rockets into Israel and their terrorist Hamas government believes that Israel has no right to exist. Israel has been more than patient with them. They usually give the civilians a chance to leave areas that are going to be bombed and try to limit unneeded casualties. This is the opposite of Hamas who literally just murdered babies and unarmed music festival goers.,n,n,-,+
"The Palestinians have harboured terrorists like Hamas in Gaza for Decades. At least Israel sent text messages to the civilians to leave, even after Hamas slaughtered Israelis.",-,n,-,+
"You mean the 'schools' from where Palestinians fire rockets into Israel, to use the deaths and injuries from counter strikes as propaganda?",n,n,-,n
"What Hamas did was absolutely wrong. Israel needs to defend itself. I pray they do not take it overboard and destroy an entire nation of people and innocent civilians. Israel needs to make some concessions and give the Palestinians control of their land, and stop allowing settlements.",+,n,-,+
"Palestinians are terrorists. The Jews are gods, chosen people, and you were attacking them because of their beliefs.",-,+,-,n
"Are you talking about the illegal occupation of Israel by Palestinians and Ottomans before that since the Cascades captured the area 1000 years ago? ",n,+,-,n
"Palestinians fought the Jews for the land and lost. Then lost more after each revolt. Palestine has never been a state, it has always been owned by other countries.",-,n,-,n
"The war is being fought under Israel’s most hardline government ever, dominated by far-right Cabinet ministers with a long record of controversial remarks.",n,n,n,-
It is unacceptable that international politics continue to favour Israel and ignore its crimes,n,n,n,-
Hundreds of thousands of Israelis have built settlements in the West Bank that are considered illegal under international law.,n,-,n,-
"Israeli settler attacks against Palestinians are a strategy employed by the Israeli apartheid regime, which seeks to advance and complete its misappropriation of more and more Palestinian land",+,-,n,-
"Israel imposed a debilitating siege on the strip and in the following years launched repeated deadly wars on its people, killing thousands and destroying civilian homes and infrastructure.",n,n,n,-
"Israel has continued an indiscriminate campaign that has sown terror among the people in Gaza, killed entire multi-generation families, and destroyed huge swaths of urban and rural lands.",+,n,n,-
"As the humanitarian suffering of the people of Gaza continues, it remains to be seen whether international condemnation and pressure on Israel will serve to stop its relentless attacks.",+,n,n,-
Relief and aid entering the Gaza Strip have barely met the urgent needs of a population now left destitute and starving.,+,n,n,n
More than 100 journalists have been killed in Gaza since the current conflict broke out on October 7.,n,n,n,n
"Peaceful Palestinians, at least when it comes to their relationship with Israel and the Jews, are few and far between.",-,n,n,n
The main concern is doing whatever it takes to keep Israelis safe and restore their shattered confidence.,n,+,n,n
"The UK government must end its support for Israel’s brutal war in Gaza, and join the wider international community in condemning its war crimes",n,n,n,-
"Last month, the Israeli military uncovered a tunnel shaft on the grounds of the Al-Shifa hospital complex, the enclave’s largest medical facility.",n,n,n,n
"Israeli soldiers in Gaza are behaving in offensive and disrespectful ways toward the civilian population. Other videos show soldiers ransacking private homes, destroying civilian property and using racist and hateful language.",n,n,n,-
"According to the Hamas-run Ministry of Health in Gaza, 18,412 had been killed as of Tuesday. The IDF said it has struck more than 22,000 targets in Gaza since the beginning of the war.",n,n,n,n
"The US has repeatedly stressed in public and private that it will not accept a re-occupation of Gaza, and voiced its view that the Palestinian territories need to be run by a unified government, ultimately under a revitalized Palestinian Authority.",+,n,n,n
"The escalation has spread fear, deepened despair, and robbed Palestinians of their livelihoods, their homes and, in some cases, their lives.",+,n,n,n
"Israeli airstrikes pummel Gaza, including civilian refuge areas, ahead of expected ground invasion",+,n,n,-
It's a sign of hope for Palestinians and Israelis that the ceasefire will continue and the killing will stop,+,+,n,n
"The Israel Defense Forces have now expanded their offensive, shifting focus to the south of the Gaza Strip, where Palestinian civilians were told to take refuge just weeks ago.",n,n,n,n
"Home to 2.3 million people and roughly twice the size of Washington, D.C., the Gaza Strip is considered one of the most densely populated areas in the world.",n,n,n,n
"Over 85 percent of Gaza’s residents have been displaced, and many are threatened by starvation and disease, according to the United Nations.",+,n,n,n
"Amid already severe shortages of food, clean water and fuel in Gaza, OCHA said in its daily report that Israel's severe constraints on humanitarian missions and outright denials had increased since the start of the year.",+,n,n,-
Israel’s offensive has been one of the most devastating military campaigns in recent history.,n,n,n,n
"Israel's unprecedented air and ground offensive against Hamas has displaced some 85% of the Gaza Strip's 2.3 million residents, sending swells of people seeking shelter in Israeli-designated safe areas that the military has nevertheless also bombed. That has left Palestinians with a harrowing sense that nowhere is safe in the tiny enclave.",+,n,n,-
It is a deliberate mistelling of the history of Israel and the Jews to delegitimize the very founding of the state of Israel and the Jewish presence.,n,+,n,n
"While saying he was not shying away from the human tragedy inflicted on Gaza civilians, Herzog cast the Israeli offensive as a step towards more peaceful relations with the Palestinians in the future, and as bolstering global security.",+,n,n,+
A Palestinian shop owner said Israeli troops used him as a human shield to protect themselves during a raid on the town of Dura in the occupied West Bank.,+,n,n,-
He repeated his position that Israel is fighting a war of self-defense in full compliance with international law.,n,n,n,+
The hostage crisis has riveted Israelis reeling from the worst attack in their history.,n,+,n,n
"With very little aid allowed in, Palestinians face severe shortages of food, water and other basic goods. Some observers openly worry that Palestinians will be forced out of Gaza altogether.",+,n,n,n
"Israel responded with a bombing campaign and ground invasion that laid waste to entire neighborhoods in northern Gaza and spread south from there. Israel continues to carry out airstrikes throughout the besieged territory, including areas in the south where it told civilians to seek refuge.",n,n,n,-
"Israel responded to the attack with a devastating bombardment of Gaza, which has been under an Israeli blockade for 17 years.",n,n,n,-
"18,412 had been killed as of Tuesday",n,n,n,n
They were among a total of 24 Israeli soldiers killed Monday in Gaza,n,n,n,n
Israeli troops have shot and killed a 13-year-old Palestinian boy,N,N,N,N
"In retaliation, Israel began a vicious bombing campaign and tightened what was already a crushing siege that Gaza has been under since 2007.",+,-,N,-
"Alternating between claims that this level of killing and destruction is somehow justified in the name of self-defence and statements that it is doing its utmost to avoid civilian casualties, Israel has often strayed far from its statements about the different aspects of this war on Gaza",N,-,N,-
The heinous crimes carried out by Israeli forces and Palestinian armed groups since October 7 are the abhorrent legacy of decades-long impunity for unlawful attacks and Israel’s systematic repression of Palestinians,N,-,-,-
"“The Israeli military were well aware that an Al Jazeera journalist was lying helpless, The Intercept’s reporting shows, yet it did not allow emergency teams to safely pass for nearly four hours and did not send a bulldozer for over an hour after that,” the report said.",N,N,N,-
"this is Israel, the colonial West’s spoiled baby – the one project it insisted on keeping alive after the end of the era of colonialism, camouflaging it with slogans of the Enlightenment and arming it with its best weapons. Every state on Earth is undoubtedly aware of Israel’s crimes, but none dares hold it to account in fear of what its colonial patrons may do in response.",N,-,N,-
"Indeed, charging Israel with the crime of genocide at the ICJ could bring an end to Israel’s impunity, create the conditions for a much needed military embargo and leave Israel isolated on the world stage.",N,-,N,-
"Israel decided to “mow the lawn”, the so-called international community conveniently looked the other way and, for many long days and nights, we faced the world’s most immoral army alone – an army that has hundreds of nuclear warheads and thousands of trigger-happy soldiers armed with Merkava tanks, F-16s, Apache helicopters, naval gunships and phosphorous bombs. Once the massacre was over, everything returned to “normal”, and Israel continued to kill us slowly with a suffocating siege that keeps our children malnourished, water contaminated and nights dark.",+,-,N,-
Israel’s intent to commit genocide in Gaza may be more clear today than ever before,N,-,N,-
"But curiously, many in the West seem to ignore mass atrocities like these with ease. And Western leaders have become skilled at evading calling them what they are: crimes against humanity.",N,-,N,-
"Israel is imposing unilaterally what and where is “safe” for Palestinian civilians. In doing so, it is deploying the discourse of safety and its associated legal technologies – warnings, safe zones, safe corridors, evacuation grids – as a lethal tool to implement the ethnic cleansing of different areas of the territory designated as safe/unsafe.",N,N,N,-
"In Palestine, we are currently observing the normalisation of genocide, ethnic cleansing, and apartheid.",+,-,N,-
"Every day in Gaza, Israel’s firing of rockets, artillery and missiles produce new images of Palestinian suffering and loss. Rescuers pull the body of a toddler out of the wreckage of a demolished building. Outside of a morgue, relatives weep over loved ones lined up on the pavement in white body bags — another family killed in the Israeli bombardment.",+,-,N,-
Israel’s war against Hamas in Gaza has prompted unprecedented destruction in the tiny coastal enclave and triggered a humanitarian catastrophe that has displaced most of Gaza’s 2.3 million population and pushed more than a quarter into starvation,+,-,N,-
"The horrific pogrom in the Gaza border communities this past October rekindled that fear, pushing more Israelis to diminish the thought of reconciliation with Palestinians.",N,-,N,-
"Israel’s onslaught on Gaza is unique “in the sense of discussing it as what I think it is – that is, genocide – because the intent is so clearly articulated. And it’s articulated throughout Israeli media and society and politics.”",+,-,N,-
"The Israeli lawyers highlighted Israeli efforts to provide humanitarian aid, but other than blaming Hamas for sometimes stealing aid, they didn’t grapple with the substantial bureaucratic and military obstacles that Israel has erected to delivery of aid, resulting in far too little getting through. Today, about 80% of people in Gaza are at “high risk” of starvation and death.",+,N,N,-
"Under a coalition government made up of a broad range of political parties and with Naftali Bennett and Yair Lapid as prime ministers, Israeli authorities doubled down on their severe repression of Palestinians.",+,-,N,-
"Israeli forces launched scores of airstrikes, dropping explosive weapons with wide area effects in the densely populated Gaza",+,-,N,-
Israeli authorities also continued to facilitate the transfer of Israeli citizens into settlements in the occupied West Bank; a war crime.,N,-,N,-
Israeli authorities have rarely held accountable security forces who used excessive force or settlers who attacked Palestinians. Less than one percent of complaints of abuses by Israeli forces filed by Palestinians in the West Bank between 2017 and 2021 led to indictments,+,N,N,-
"“There are bulldozers destroying the streets, snipers are inside and on roofs of houses, drones are hitting houses and Palestinians are killed in the streets,”",+,N,N,-
"Israeli-Palestinian violence has surged over the last year, as the Israeli military has carried out near-nightly raids on Palestinian cities, towns and villages and as Palestinians have staged numerous attacks against Israelis.",N,N,N,N
"Israel declared war in response to Hamas’ unprecedented cross-border attack on Oct. 7 in which the Islamic militant group killed some 1,200 people, mostly civilians, and took 250 others hostage.",N,N,N,N
There is little discussion or sympathy over the skyrocketing death toll and deteriorating humanitarian situation in Gaza. Plans for postwar Gaza are rarely mentioned.,+,N,N,-
Israelis like their wars to go well. This war doesn’t go so well,n,-,n,n
Gaza has simply become uninhabitable,+,n,n,-
"The war has devastated parts of Gaza, killed roughly 20,400 Palestinians and displaced almost all of the territory’s 2.3 million people. The Health Ministry in Gaza said 166 people were killed in the coastal enclave over the past day.",n,n,n,n
"The overnight barrages crushed homes, burying unknown numbers of people underneath, in the Shati refugee camp, a densely built-up district on the Mediterranean coast adjacent to central Gaza City, Palestinians who fled south Monday reported.",+,n,n,-
"On Friday, Israeli airstrikes flattened two homes, one in Gaza City and the other in the urban refugee camp of Nuseirat in the center of the territory.",+,n,n,-
He said he was “deeply troubled by the clear violation of international humanitarian law that we are witnessing.”,+,n,n,-
"Israeli strikes in central Gaza have killed at least 35 people Sunday, hospital officials said",n,n,n,n
"""Gaza has simply become uninhabitable. Its people are witnessing daily threats to their very existence -- while the world watches on,""",+,n,n,-
"Hospitals in Gaza are experiencing “catastrophic” situations, operating far beyond capacity amid the ongoing Israel-Hamas war, according to international organizations.",+,n,n,n
"Since the Hamas terrorist group's surprise attack on Israel on Oct. 7, the death toll on both sides of the conflict has been steadily rising. More than 24,000 people have been killed in Gaza and over 61,000 others injured, according to the Hamas-run Gaza Health Ministry. In Israel, at least 1,200 people have been killed and 6,900 others injured, according to the Israeli prime minister's office.",n,n,n,n
"Israeli officials say 526 IDF soldiers have been killed, including 192 since the ground operations in Gaza began.",n,n,n,n
"Israel’s war against Hamas in Gaza, sparked by the militant group’s Oct. 7 attack on southern Israel, has prompted unprecedented destruction in the tiny coastal enclave and triggered a humanitarian catastrophe that has displaced most of Gaza’s 2.3 million population and pushed more than a quarter into starvation, according to the U.N.",+,n,n,-
"If things continue as they are, or if things worsen, we are looking at a full-fledged famine within the next six months",+,n,n,n
"This area of the Gaza Strip has seen some of the fiercest fighting and heaviest bombardments, entire streets have been destroyed and for periods it was completely cut off – no internet, electricity, water or access from the rest of Gaza",+,n,n,n
"Hamas terrorists launched a surprise attack on Israel on Oct. 7 that left more than 1,200 dead, 6,900 injured and more than 200 taken hostage, according to Israeli officials.",n,n,-,n
"With 23,357 killed in Israel's military operation in Gaza, according to the Hamas-run Gaza Ministry of Health, the Gaza Strip population has now lost 1% of its 2.3 million residents. More than 10,000 of those killed were children, and about 7,000 are reported to be still under the rubble, the health ministry said.",n,n,n,-
"From the first reports of the Hamas terrorists’ invasion and rocketing of southern Israel, the fear was always what Israel would do. There was always going to be a response. It was always going to be one of overwhelming force. Retribution and revenge. Blood would be spilled.",n,-,n,-
"Monstrous. Frightful. Wicked. It’s strange how the words just run out in the Middle East today. Sixty Palestinians dead. In one day. Two-thousand-four-hundred wounded, more than half by live fire. In one day. The figures are an outrage, a turning away from morality, a disgrace for any army to create.",+,n,n,-
"More than 24,900 people have been killed in Gaza since Israel launched its response to the 7 October Hamas attacks, according to the Hamas-run health ministry.",n,n,n,n
"During the truce, 81 Israelis and dual nationals were released, along with 24 foreigners. In return for the Israeli hostages, 240 Palestinians were free from Israeli jails.",n,n,n,n
"Like any society, Gaza's future is its children. But here, they're disproportionately victims of war and, says the UN, may lose out completely on what should be rightfully theirs",+,n,n,n
"The issue we face with Israel-Gaza is not complicated. While we recognize that Hamas’ barbaric terrorist attack began this war, we must also recognize that Israel’s military response has been grossly disproportionate, immoral, and in violation of international law. And, most importantly for Americans, we must understand that Israel’s war against the Palestinian people has been significantly waged with U.S. bombs, artillery shells, and other forms of weaponry",n,n,-,-
Using the term 'genocide' to demonise Israel is insulting to the victims of Nazis,-,+,n,+
"Most of the Israeli government has served in the IDF and know what the Palestinians do is nothing compared to what they do to the Palestinians. They could dismantle and remove all the settlements and create a stable situation in the West Bank. Instead, they terrorise the Palestinians.",+,n,n,-
"Israel is perpetually seen as the aggressor because not enough Israelis die. Israel is too good at defending itself.
",n,+,n,+
"I myself am not Israeli, but support them because I am Christian and Israel is God's Country, and I will stand with them. This is not to say that I hate Palestine as a country, but I hate the way most of the civilians there blindly support Hamas. Please just stop hating on Israel and pretending that they are playing the victim. Yes, the people in Palestine are going through difficulties too themselves but that doesn't mean that they are the only ones suffering.
",-,+,n,+
"You should delineate between Palestinians and Hamas. There are, in fact, Palestinians who want nothing to do with this and are caught in the middle.",+,n,n,n
"Our leaders selfishly continue to support and defend Israel, subjecting hundreds of thousands of Palestinian men, women and children to unimaginable suffering and terror. The situation is beyond catastrophic and there is overwhelming evidence of genocide and ethnic cleansing.",+,n,n,-
Israel builds settlements on Palestinian land. Illegally. They know the Palestinian want that land back. They know removing the settlers will be a major obstacle to peace.,n,n,n,-
"Israel was willing to grant Palestinians semi-autonomous control in non-contiguous parts of the West Bank and Gaza, with no Palestinian control over borders, foreign relations, trade, natural resources, water, air space or spectrum. It was just a permanent occupation.",n,n,n,-
"With every seizure of homes and act of violence and imprisonment without sentencing, Israel only makes that one state solution more difficult, as it will radicalize more orphaned children against them. Israel in fact hurts their safety, as they coexisted peacefully with Palestinians in the territory prior to the 1930s, before the zionist settler project and collusion with the British Empire occurred. Israel doesn't have the right to genocide anyone they deem a threat.",n,n,n,-
"The problem is that the Israelis see the Palestinians as subhuman and kill them everyday, just for fun. The norm in Israel is to deny the Palestinians any human dignity.",+,-,n,-
"Supporting Israel is the right thing to do. Supporting Israel is supporting democracy and a safe place for Jews to exist. Israel is doing the right thing no need to waver in your support.",n,+,n,+
"Israel is not committing genocide in Gaza. There's definitely unacceptable carelessness about civilian casualties and I'm not saying they're making the best decisions in this war but it's so obvious they are not trying to kill civilians on purpose, much less Palestinians as a whole people.",n,n,n,n
"I believe that everyone has a right to resist an aggressor perpetrating injurious things against them. I also believe that no one has the right to hurt innocent others because they experienced negative consequences  as a result of being the aggressor at an earlier point in time. ",n,n,n,n
"Israel is doing the only thing it can after October 7. ",n,n,n,+
Maybe Israel can stop destroying Gaza? I mean all these talks of moving the Palestinians are just Ethnic cleansing in different words.,+,n,n,-
Palestinians tried to do peaceful protests. Peaceful protesters were killed by Israelis terrorists.,+,n,n,-
"I think this argument gets used to make a moral judgment about people who pay attention more to the issue of Israel and Palestine. ",n,n,n,n
Israel killed many Palestinians and displaces them. Palestinians don’t even have basic human rights. Israel cannot get away with that and think that there will be no retaliation.,+,n,n,-
"Palestinians are occupied people, by international law and Israel is the occupier, by international law",n,n,n,n
This could have never happened if Israel hadn’t stolen Palestinians’ land.,n,n,n,-
Israel needs to only care about their civilians. No other country is ever asked to care about the civilians of their enemy entity.,n,+,n,n
"The IDF murdered three hostages. The death toll is over 20,000 with little in the way of major breakthroughs. Israeli government officials continually indicate that there is still a long way to go before Hamas is defeated.",n,n,n,-
Just because you believe that Israel has the right to defend itself through the military does not mean that any military actions Israel takes are justified. There is mass civilian death and Israel cannot do whatever it wants and hide behind blaming Hamas.,n,n,n,-
Israel has killed some of the highest amounts of journalists in modern day and has killed thousands of protestors.,n,n,n,-
Giving Palestinians the same rights as Israelis could do a lot more towards reducing terrorism than one might think.,+,+,n,n
Palestinians have to accept Israel is here to stay.,n,+,n,n
"But I am calling out that that this apparent goal Israel has to protect Jewish people is a lie. If Israel cared about Jewish people they wouldn’t be committing genocide in the name of Jewish people and make public statements of Jewish supremacy as if there aren’t Jewish people outside of Israel, who have to face anti-Semitism.",n,+,n,-
"Palestinian neighborhoods and cities are destroyed, loved ones lose each other, children crushed and torn into pieces, cold, hunger, diseases and other tragedies of war. I see children in Gaza who are no different from my siblings and are not different from any children in the world being killed.",+,n,n,n
"However Israel's response was brutal and unjustified and it became as if they were taking revenge on civilians and later the war became closer to a genocide. Collective punishment has been Israel's policy since its establishment settlement and control of lands have always been the goal of it's wars, and dozens of massacres and hundreds of destroyed villages bear witness to that. Also The pretext that “Hamas uses civilians as human shields” literally means killing innocent civilians is justified.",n,n,n,-
"Israel is only doing itself more harm by the way they’re handling this situation. They’re still allowing settlers in the West Bank, they seem to be indiscriminately bombing Gaza, and they don’t realize they’re creating more potential Hamas fighters and increasing tension between them and the rest of the world.",n,n,n,-
The sole meaningful difference seems to be that the IDF has killed more civilians. Certainly no moral high ground.,n,n,n,-
"I have seen zero evidence Hamas was using every single hospital in Northern Gaza, requiring Israel to bomb every single hospital in northern Gaza.",n,n,n,-
"In fact, there is zero credible evidence that any Palestinian hospital met the legal requirements to be a military target, yet all of those buildings have been bombed by Israel. Considering the fact that the tunnels are still largely intact, it's pretty obvious at this point that the structures and the civilians were Israel's target, not Hamas and not the tunnels.",+,n,n,-
"Of course you could meet people of any race or nationality that are wonderful, but living around Jews and Asians is the best. Clean, fine food, restaurants, nice shops, nobody bothers you, and safety. They are so much more humane and open than places where societies are closed, homophobic and misogynistic and backward. Palestine should befriend Israel, and everything would be better for them.",-,+,n,n
"My point is, that everyone there has some claim to this land from a historical perspective. Israel was created, Arabs attacked that day and Israel won. Everything after that date is one attack after another by someone else against Israel.",n,+,n,+
I have no idea what you are talking about with regard to Palestine but they should have self-determination. There is no reason to believe Palestinians just want to burn people alive; seems a weird thing to say.,+,n,n,n
